Position Y,Position X,Position Z
106328.48,386379.75,8.6
106391.85,386396.26,8.58
106690.38,386398.94,8.54
106464.69,386398.6,8.61
106526.73,386389.51,8.66
106454.2,386387.01,8.66
106467.18,386380.54,8.61
106528.84,386377.83,8.53
106347.58,386400.29,8.4
106499.11,386393.32,8.28
106354.61,386377.7,8.26
106505.46,386385.44,8.45
105590,386400,8.52
106506.85,386399.91,8.51
106391.25,386378,8.46
106539.15,386376.22,8.69
105585,386390,8.9
106317.86,386380,8.82
106486.6,386375.74,8.79
106415.57,386386.65,8.91
106366.87,386376.95,8.95
106384.01,386388.69,8.94
106293.95,386399.07,8.92
106275.62,386387.38,8.77
106268.65,386380.03,8.71
106494.8,386382.84,8.7
106336.91,386399.36,8.7
106258.57,386376.11,8.71
106441.36,386385.61,8.76
106340.07,386375.37,8.75
106292.61,386389.03,8.74
106517.36,386383.58,8.21
106654.38,386382.94,7.84
106558.87,386375.73,7.8
106664.38,386376.94,7.64
106644.38,386390.94,7.84
106634.38,386398.94,7.94
106662.38,386390.94,7.94
106556.05,386395.76,7.89
106686.38,386378.94,7.64
106795.33,386399.25,5.73
106790,386390,5.72
106840,386390,5.65
106840,386400,5.74
105575,386385,7.04
106748.44,386399.7,6.04
106780,386400,5.85
106676.38,386376.94,7.94
106358.96,386387.94,8.13
106277.11,386398.45,8.1
106304.57,386381.43,8.07
106529.36,386399.26,8.13
106400.71,386387.5,8.17
106370.76,386394.64,8.15
106545.99,386388.01,8.15
106436.75,386395.4,8.06
106485.14,386387.29,8.02
106559.02,386386.15,8.02
106569.99,386382.91,7.97
106692.38,386386.94,8.04
106542.71,386398.88,8.06
106682.38,386392.94,8.04
106670.38,386384.94,8.04
106258.55,386294.3,8.78
105550,386285,8.75
106323.31,386282.39,8.75
106267.9,386275.71,8.8
106404.34,386296.32,8.9
105559.39,386299.12,8.86
106382.8,386275.55,8.82
106367.23,386290.59,8.72
106476.88,386293.93,8.63
106485.27,386281.65,8.61
106552.58,386289.02,8.58
106443.8,386277.58,8.65
106454.98,386296.85,8.72
106413.09,386275.43,8.71
106563.9,386291.43,8.68
106310.01,386294.36,8.95
105589.02,386296.23,9.32
106511.52,386295.27,9.26
106224.91,386278.75,9.21
106236.32,386300.31,9.39
105606.58,386288.98,9.66
105612.77,386297.61,9.58
105560,386285,9.51
106249.44,386286.42,9.21
106233.99,386289.62,9.04
106496.54,386277.61,9.02
106287.7,386277.17,8.98
106356.5,386289.6,9.05
105583.33,386285.64,9.16
106344.18,386285.4,9.15
106407.99,386285.49,9.1
106420.43,386288.23,8.54
106498.69,386289.55,8.13
106467.01,386282.84,8.12
106309.99,386282.71,8.11
106517.82,386283.36,8.13
106432.89,386294.29,8.17
106389.01,386290.42,8.16
106448.5,386286.85,8.15
106541.36,386297.86,8.11
105540,386295,7.64
106582.99,386276.77,7.47
106592.86,386283.05,7.43
105540,386285,7.82
106543.35,386282.35,8.09
106527.44,386296.35,8.05
106245.68,386276.01,8
106352.43,386279.59,8.18
105550,386295,8.41
106289.03,386291.89,8.41
106376.8,386287.61,8.39
106363.37,386299.88,8.46
106487.11,386291.6,8.54
106367.5,386279.64,8.49
106576.26,386291.9,8.48
106422.97,386299.56,8.35
106559.3,386281.41,8.2
106276.93,386285.88,8.19
106324.31,386296.14,8.18
106258.43,386281.3,8.26
106535.54,386288.63,8.3
106297.92,386281.17,8.27
106335.94,386292.6,8.27
106120,386295,11.55
105963.51,386294.51,11.53
105690,386300,11.52
106130,386294.99,11.55
105802.96,386296.76,11.57
105795.41,386285.82,11.56
105995.77,386299.82,11.56
106115.01,386284.99,11.51
105701.34,386277.27,11.45
105680,386285,11.42
105699.35,386288.72,11.39
105876.8,386292.96,11.48
106200,386290,11.5
106170,386285,11.49
106026.85,386283.79,11.49
105955,386280,11.58
105700,386300,11.66
106055,386285,11.66
106125.01,386285,11.65
105690,386285,11.66
106064.04,386279.8,11.69
106044.88,386296.96,11.69
106032.2,386297.46,11.69
106037.34,386282.66,11.65
105890,386295,11.58
106140,386300,11.58
106190,386294.99,11.58
105913.5,386295.15,11.6
106011.72,386284.52,11.62
105716.1,386300.17,11.61
105897.37,386284.89,11.6
106159.95,386285.05,11.36
106210,386290,10.27
105667.38,386296.81,10.19
105652.26,386276.44,10.13
105634.92,386289.12,10.29
106210,386300,10.88
105647.41,386286.93,10.78
105657.32,386295.29,10.44
105627.05,386280.05,10.1
105599.4,386296.29,9.79
105601.58,386279.92,9.73
105570,386295,9.66
105570,386285,9.86
105659.12,386285.33,9.96
105617.54,386284.46,9.96
105625.24,386292.19,9.92
106200.01,386279.99,10.97
106179.99,386289.99,11.3
106148.23,386289.18,11.29
106159.36,386296.61,11.27
106080,386284.99,11.33
106190,386284.99,11.36
105919.4,386286.33,11.36
105708.49,386293.54,11.33
106088.99,386294.17,11.26
105951.14,386289.55,11.15
105670,386285,11.12
105942.97,386282.64,11
106110,386295,11.19
106094.34,386283.86,11.24
105981.5,386292.46,11.23
105909.16,386285.96,11.2
106607.74,386295.93,7.14
106094.3,386271,11.16
105965,386265,11.16
105660,386265,11.15
106065.01,386260,11.19
105875.06,386261.1,11.21
106175,386254.99,11.21
106175,386264.99,11.2
106035,386254.99,11.14
105920.41,386265.6,11.1
105945,386260,10.98
105965,386254.99,10.8
105975.01,386255,11.11
105955,386259.99,11.12
105678.3,386256.81,11.11
105930,386260,11.11
105670,386275,11.22
106135,386265,11.42
105975,386274.99,11.4
106025.01,386259.99,11.39
105985,386259.99,11.42
105935,386275,11.43
106075,386269.99,11.43
106075.01,386259.99,11.43
106135,386275,11.36
106045,386255,11.26
106010.38,386263.76,11.26
105955.01,386269.99,11.25
106190.01,386270,11.26
105965,386275,11.32
105686.71,386274.22,11.29
105670,386265,11.28
105638.49,386271.39,10.63
105535,386255,9.38
105571.45,386262.55,9.37
106218.49,386268.26,9.35
106235.29,386275.01,9.39
105545,386255,9.62
105555,386265,9.49
105565.3,386251.63,9.41
106234.07,386255.17,9.23
106203.79,386258.58,8.98
105550,386275,8.96
106256.81,386258.88,8.93
106425.42,386263.33,9.04
106421.76,386252.55,9.23
106212.26,386252.75,9.2
105545,386265,9.09
106200.01,386269.99,9.64
105623.26,386267.6,10.05
105582.37,386263.55,10.05
105592.59,386270.49,10.04
105640.29,386257.35,10.19
105627.28,386257.72,10.61
106185,386259.99,10.42
105647.41,386266.63,10.31
105613.86,386258.62,9.96
105555,386255,9.73
105590.93,386257.44,9.67
105560,386275,9.67
105570,386275,9.8
105580,386275,9.91
105599.99,386263.42,9.9
105613.82,386273.08,9.9
105735,386270,11.98
105770,386265,11.97
105760,386270,11.96
105735,386260,11.99
105745,386270,12.03
105712.96,386257.35,12.02
105770,386275,12
105845,386270,11.94
105802.41,386270.19,11.85
105828.82,386270.55,11.79
105800,386260,11.79
105863.73,386264.82,11.86
105828.92,386250.54,11.93
105760,386255,11.89
105810,386260,11.88
105837.1,386261.59,12.08
105520,386300,4.96
105510,386285,4.77
105510,386295,3.88
105520,386290,5.66
105530,386285,6.92
105530,386295,6.58
105520,386280,6.4
105500,386280,3.62
105855,386270,12.11
105698.73,386259.38,12.08
105724.4,386265.53,12.08
105749.4,386260.46,12.11
105705.67,386267.32,12.47
105850.76,386260,12.4
105715.43,386269.97,12.3
